date,open,high,low,close,volume,adjusted_close,dividend
2023-12-01,376.78,384.3,371.31,374.51,135190626,374.51,0.0
2023-12-08,369.1,374.46,362.9,374.23,119519918,374.23,0.0
2023-12-15,368.48,377.6361,364.13,370.73,205282326,370.73,0.0
2023-12-22,369.45,376.03,368.68,374.58,103468302,374.58,0.0
2023-12-29,375.0,377.16,372.8116,376.04,60603657,376.04,0.0
2024-01-05,373.86,375.9,366.5,367.75,89318051,367.75,0.0
2024-01-12,369.3,390.68,369.01,388.47,118990164,388.47,0.0
2024-01-19,393.66,398.67,384.81,398.67,102159580,398.67,0.0
2024-01-26,400.02,407.01,393.59,403.93,109649099,403.93,0.0
2024-02-02,406.06,415.32,397.21,411.22,164773339,411.22,0.0
2024-02-09,409.9,420.82,402.91,420.55,109333537,420.55,0.0
2024-02-16,420.555,420.74,403.39,404.06,113551067,404.06,0.0
2024-02-23,403.24,415.86,397.22,410.34,86244735,410.34,0.0
2024-03-01,411.455,415.87,403.85,415.5,93983165,415.5,0.0
2024-03-08,413.44,417.35,398.39,406.22,103579947,406.22,0.0
2024-03-15,403.76,427.82,401.26,416.42,133587381,416.42,0.0
2024-03-22,414.25,430.82,413.78,428.74,96748672,428.74,0.0
2024-03-28,425.24,427.41,419.01,420.72,73362236,420.72,0.0
2024-04-05,423.95,428.67,417.57,425.52,85744235,425.52,0.0
2024-04-12,425.17,429.37,419.7,421.9,80153656,421.9,0.0
2024-04-19,426.6,426.82,397.77,399.12,104490345,399.12,0.0
2024-04-26,400.08,413.0,388.03,406.32,121367810,406.32,0.0
2024-05-03,405.25,407.15,389.17,406.66,107082034,406.66,0.0
2024-05-10,408.76,415.38,406.3701,414.74,76899183,414.74,0.0
2024-05-17,418.01,425.42,410.82,420.21,85671354,420.21,0.0
2024-05-24,420.21,433.6,419.99,430.16,84866064,430.16,0.0
2024-05-31,429.63,430.94,404.51,415.13,107655251,415.13,0.0
2024-06-07,415.525,426.28,408.9234,423.85,77304531,423.85,0.0
2024-06-14,424.7,443.4,423.89,442.57,80462918,442.57,0.0
2024-06-21,442.585,450.94,440.72,449.78,92266084,449.78,0.0
2024-06-28,449.8,456.17,446.41,446.95,92336873,446.95,0.0
2024-07-05,448.66,468.35,445.66,467.56,57575717,467.56,0.0
2024-07-12,466.55,467.7,450.645,453.55,87822377,453.55,0.0
2024-07-19,453.3,457.26,432.0,437.11,95094386,437.11,0.0
2024-07-26,441.79,448.39,417.27,425.27,109249239,425.27,0.0
2024-08-02,431.58,432.15,404.34,408.49,150439080,408.49,0.0
2024-08-09,389.17,410.08,385.58,406.02,125786365,406.02,0.0
2024-08-16,407.06,421.34,404.2434,418.47,97971871,418.47,0.0
2024-08-23,418.96,426.7899,412.09,416.79,85544521,416.79,0.0
2024-08-30,416.365,422.05,407.31,417.14,82881966,417.14,0.0
2024-09-06,417.91,419.88,400.8,401.7,69005355,401.7,0.0
2024-09-13,407.24,431.83,402.15,430.59,87449658,430.59,0.0
2024-09-20,430.6,441.85,428.22,435.27,128480635,435.27,0.0
2024-09-27,434.28,436.46,426.1,428.02,74929184,428.02,0.0
2024-10-04,428.21,430.42,414.29,416.06,85407142,416.06,0.0
2024-10-11,416.0,420.38,408.17,416.32,83116599,416.32,0.0
2024-10-18,417.77,424.04,410.48,418.16,83027540,418.16,0.0
2024-10-25,416.12,432.52,413.7501,428.15,89823386,428.15,0.0
2024-11-01,431.655,438.5,406.3,410.37,140477096,410.37,0.0
2024-11-08,409.8,426.85,405.5713,422.54,100773335,422.54,0.0
2024-11-15,422.515,429.325,413.64,415.0,123901235,415.0,0.0
2024-11-22,414.87,419.78,410.2887,417.0,107661985,417.0,0.0
2024-11-29,418.38,429.0414,414.85,423.46,85754344,423.46,0.0
2024-12-06,421.57,446.1,421.31,443.57,105037416,443.57,0.0
2024-12-13,442.6,456.1648,440.5,447.27,97826667,447.27,0.0
2024-12-20,447.27,455.29,428.63,436.6,158004248,436.6,0.0
2024-12-27,436.74,440.94,426.35,430.53,52634702,430.53,0.0
2025-01-03,426.06,427.55,414.85,423.35,59964624,423.35,0.0
2025-01-10,428.0,434.32,415.02,418.95,73968420,418.95,0.0
2025-01-17,415.235,434.48,410.72,429.03,95676004,429.03,0.0
2025-01-24,430.2,447.27,425.595,444.06,87828237,444.06,0.0
2025-01-31,424.01,448.38,413.16,415.06,171530526,415.06,0.0
2025-02-07,411.6,418.65,408.1,409.75,101744032,409.75,0.0
2025-02-14,413.71,415.4624,404.3673,408.43,104730440,408.43,0.0
2025-02-21,408.0,419.31,406.5,408.21,96570775,408.21,0.0
2025-02-28,408.51,409.37,386.57,396.99,129423076,396.99,0.0
2025-03-07,398.82,402.15,381.0,393.31,121122493,393.31,0.0
2025-03-14,385.84,390.23,376.91,388.56,127629375,388.56,0.0
2025-03-21,386.7,392.705,381.1,391.26,119293124,391.26,0.0
2025-03-28,395.4,396.36,376.93,378.8,88311199,378.8,0.0
2025-04-04,372.535,385.08,359.48,359.84,150374585,359.84,0.0
2025-04-11,350.88,393.225,344.79,388.45,198357200,388.45,0.0
2025-04-17,393.22,394.65,366.89,367.78,79539080,367.78,0.0
2025-04-23,362.815,380.39,355.67,374.39,60837798,374.39,0.0
